Rk,Player,NationFixed,Nation,Pos,Squad,AgeFixed,Age,Born,MatchesPlayed,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG
222,Reece James,,GBR,DFMF,Chelsea,23,23-054,1999,8,7,611,6.8,1,1,1,0,0,3,0,0.8,0.8,1.6,2.4
223,Vitaly Janelt,,DEU,MFDF,Brentford,24,24-266,1998,20,14,1319,14.7,2,1,2,0,0,1,0,1.9,1.9,0.8,2.7
224,Pontus Jansson,,SWE,DF,Brentford,31,31-352,1991,7,6,515,5.7,0,0,0,0,0,0,0,0,0,0,0
225,Mathias Jensen,,DNK,MF,Brentford,27,27-030,1996,20,20,1504,16.7,2,4,2,0,0,3,0,0.9,0.9,2.1,3
226,Gabriel Jesus,,BRA,FW,Arsenal,25,25-303,1997,14,14,1219,13.5,5,5,5,0,0,4,0,7.7,7.7,2.8,10.6
227,Raúl Jiménez,,MEX,FW,Wolves,31,31-271,1991,6,3,294,3.3,0,0,0,0,0,0,0,1,1,0.4,1.4
228,Joelinton,,BRA,MFFW,Newcastle Utd,26,26-170,1996,18,17,1510,16.8,2,1,2,0,0,7,0,3.2,3.2,1.8,5.1
229,Ben Johnson,,GBR,DF,West Ham,23,23-007,2000,8,6,498,5.5,0,0,0,0,0,0,0,0,0,0.2,0.2
230,Brennan Johnson,,GBR,FW,Nott'ham Forest,21,21-253,2001,20,18,1616,18,4,2,3,1,2,4,0,5.8,4.2,2.5,6.7
231,Curtis Jones,,GBR,MFFW,Liverpool,22,22-001,2001,6,1,189,2.1,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4
232,Jorginho,,ITA,MF,Chelsea,31,31-042,1991,18,15,1279,14.2,2,0,0,2,2,4,0,1.7,0.1,0.4,0.5
233,Diogo Jota,,PRT,FWMF,Liverpool,26,26-058,1996,4,2,196,2.2,0,1,0,0,0,1,0,0.8,0.8,0.8,1.6
234,James Justin,,GBR,DF,Leicester City,24,24-342,1998,14,14,1252,13.9,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6
235,Mathias Jørgensen,,DNK,DF,Brentford,32,32-283,1990,12,8,736,8.2,0,0,0,0,0,1,0,0.5,0.5,0.1,0.5
236,Sasa Kalajdzic,,AUT,FW,Wolves,25,25-208,1997,1,1,45,0.5,0,0,0,0,0,0,0,0.3,0.3,0,0.3
237,Boubacar Kamara,,FRA,MF,Aston Villa,23,23-069,1999,14,13,1114,12.4,0,1,0,0,0,3,0,0.2,0.2,0.2,0.4
238,Harry Kane,,GBR,FW,Tottenham,29,29-187,1993,21,21,1875,20.8,16,1,14,2,3,4,0,11.8,9.4,3.3,12.8
239,N'Golo Kanté,,FRA,MF,Chelsea,31,31-308,1991,2,2,174,1.9,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4
240,Michael Keane,,GBR,DF,Everton,30,30-020,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0
241,Neeskens Kebano,,COD,FW,Fulham,30,30-327,1992,12,9,713,7.9,0,3,0,0,0,0,0,0.5,0.5,1.4,1.8
242,Thilo Kehrer,,DEU,DF,West Ham,26,26-132,1996,15,15,1350,15,0,0,0,0,0,4,0,0.4,0.4,0.2,0.6
243,Naby Keïta,,GUI,MF,Liverpool,27,27-355,1995,5,1,183,2,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6
